breed,url,Images,Adaptability,ApartmentSuitability,InexperiencedOwner,ToleranceAlone,Friendliness,Shedding,Health,Size,TrainAbility,Noisy,ExerciseNeeds,breed_group,AgeAverage
Bearded Collie,https://dogtime.com/dog-breeds/bearded-collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-106395374-e1694029838848.jpg?w=1024,3,3,4,2,5,4,3,3,4,3,4,Herding Dogs,4
Bedlington Terrier,https://dogtime.com/dog-breeds/bedlington-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-952818676-1-e1695321471712.jpg?w=1024,4,4,4,3,5,5,4,3,4,3,4,Terrier Dogs,5
Belgian Malinois,https://dogtime.com/dog-breeds/belgian-malinois,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-482598287-e1689368698804.jpg?w=1024,3,1,3,3,4,2,4,4,4,2,5,Herding Dogs,4
Belgian Sheepdog,https://dogtime.com/dog-breeds/belgian-sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1198791373-e1695840179194.jpg?w=1024,4,3,3,3,5,5,3,4,4,1,5,Herding Dogs,3
Belgian Tervuren,https://dogtime.com/dog-breeds/belgian-tervuren,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-872002846-e1694032121253.jpg?w=1024,3,3,3,1,3,4,3,4,4,5,4,Herding Dogs,3
Berger Picard,https://dogtime.com/dog-breeds/berger-picard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-180391527-e1695061860356.jpg?w=1024,4,3,4,3,4,4,5,4,3,2,5,Herding Dogs,4
Bernedoodle,https://dogtime.com/dog-breeds/bernedoodle,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-962709956-e1693706990967.jpg?w=1024,3,3,3,2,4,1,4,3,4,3,4,Mixed Breed Dogs,5
Bernese Mountain Dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-537870596-e1701102761329.jpg?w=1024,2,1,2,1,5,5,1,5,4,4,4,Working Dogs,2
Bichon Frise,https://dogtime.com/dog-breeds/bichon-frise,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-514367196-e1692032817448.jpg,4,5,5,1,5,2,4,2,3,2,4,Companion Dogs,4
Biewer Terrier,https://dogtime.com/dog-breeds/biewer-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1569169973-e1694190546405.jpg?w=1024,3,5,3,3,4,1,4,1,3,3,4,Terrier Dogs,4
Black and Tan Coonhound,https://dogtime.com/dog-breeds/black-and-tan-coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-531223775-e1692805403967.jpg?w=1024,3,1,2,2,5,5,5,3,4,5,5,Hound Dogs,3
Black Mouth Cur,https://dogtime.com/dog-breeds/black-mouth-cur,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1440971786-1-e1695316015872.jpg,3,1,2,2,4,3,4,4,4,4,4,Working Dogs,5
Black Russian Terrier,https://dogtime.com/dog-breeds/black-russian-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1187418372-1-1-e1697988547920.jpg?w=1024,3,3,2,1,4,2,3,5,4,3,5,Working Dogs,3
Bloodhound,https://dogtime.com/dog-breeds/bloodhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-823894968-e1690932136652.jpg?w=1024,3,1,2,2,5,4,3,4,4,4,4,Hound Dogs,4
Blue Lacy,https://dogtime.com/dog-breeds/blue-lacy,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-173549958-e1694386494868.jpg?w=1024,3,1,1,2,3,3,4,3,5,5,5,Working Dogs,4
Bluetick Coonhound,https://dogtime.com/dog-breeds/bluetick-coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-483373049-e1694177883533.jpg?w=1024,3,2,2,2,4,2,4,3,4,4,5,Hound Dogs,3
Bocker,https://dogtime.com/dog-breeds/bocker,https://cdn-fastly.petguide.com/media/2022/02/16/8216336/bocker.jpg?size=720x845&nocrop=1,4,5,3,1,4,3,3,2,5,5,4,Mixed Breed Dogs,4
Boerboel,https://dogtime.com/dog-breeds/boerboel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-843641198-e1694186885578.jpg?w=1024,2,1,1,2,3,3,4,5,3,3,4,Working Dogs,3
Boglen Terrier,https://dogtime.com/dog-breeds/boglen-terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-3.41.37-PM.png,3,4,4,2,5,2,3,2,4,4,5,Mixed Breed Dogs,4
Bolognese,https://dogtime.com/dog-breeds/bolognese,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-142865646-1.jpg,3,5,3,2,5,1,5,1,4,4,3,Companion Dogs,4
Borador,https://dogtime.com/dog-breeds/borador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/borador-mixed-dog-breed-pictures-cover.jpg,3,3,3,2,4,4,3,4,3,2,4,Hybrid Dogs,4
Border Collie,https://dogtime.com/dog-breeds/border-collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-164855910-1-e1694532950609.jpg?w=1024,3,2,2,1,4,3,2,3,4,2,5,Herding Dogs,4
Border Sheepdog,https://dogtime.com/dog-breeds/border-sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg,3,2,3,2,4,3,4,3,4,4,4,Mixed Breed Dogs,4
Border Terrier,https://dogtime.com/dog-breeds/border-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1176073607-e1691420229477.jpg,3,4,3,1,4,3,4,2,4,1,5,Terrier Dogs,4
Bordoodle,https://dogtime.com/dog-breeds/bordoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,4,4,4,3,4,2,4,3,3,2,3,Mixed Breed Dogs,4
Borzoi,https://dogtime.com/dog-breeds/borzoi,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-494422742-e1690935653749.jpg?w=1024,4,5,3,1,4,5,4,5,4,2,2,Hound Dogs,3
BoShih,https://dogtime.com/dog-breeds/boshih,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg,3,5,4,1,3,2,3,2,2,2,3,Mixed Breed Dogs,4
Bossie,https://dogtime.com/dog-breeds/bossie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/bossie-mixed-dog-breed-pictures-cover.jpg,3,2,2,5,4,2,3,3,4,3,5,Mixed Breed Dogs,4
Boston Boxer,https://dogtime.com/dog-breeds/boston-boxer,https://dogtime.com/wp-content/uploads/sites/12/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,3,4,3,2,4,3,4,3,3,3,4,Mixed Breed Dogs,4
Boston Terrier,https://dogtime.com/dog-breeds/boston-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142527104-e1693833380980.jpg?w=1024,4,5,4,3,5,2,4,2,3,3,5,Companion Dogs,4
Bouvier des Flandres,https://dogtime.com/dog-breeds/bouvier-des-flandres,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1246925205-e1694459937398.jpg?w=1024,3,3,2,2,4,1,3,4,3,4,4,Herding Dogs,3
Boxador,https://dogtime.com/dog-breeds/boxador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg,2,2,2,1,4,4,2,4,4,3,5,Mixed Breed Dogs,4
Boxer,https://dogtime.com/dog-breeds/boxer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-463043655-1-e1692889076481.jpg?w=1024,3,4,3,1,4,4,2,3,3,3,5,Working Dogs,3
Boxerdoodle,https://dogtime.com/dog-breeds/boxerdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg,3,1,3,2,4,2,3,3,3,2,4,Mixed Breed Dogs,3
Boxmatian,https://dogtime.com/dog-breeds/boxmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,2,1,2,2,3,3,5,5,4,3,5,Mixed Breed Dogs,3
Boxweiler,https://dogtime.com/dog-breeds/boxweiler,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg,3,2,3,2,4,3,3,4,3,3,4,Mixed Breed Dogs,3
Boykin Spaniel,https://dogtime.com/dog-breeds/boykin-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-514726067-e1689183365138.jpg?w=1024,3,1,3,3,4,4,2,3,4,3,5,Sporting Dogs,3
Bracco Italiano,https://dogtime.com/dog-breeds/bracco-italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226161054-e1694267703286.jpg?w=1024,3,1,2,3,4,3,2,4,3,2,4,Sporting Dogs,4
Braque du Bourbonnais,https://dogtime.com/dog-breeds/braque-du-bourbonnais,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-11.00.02-AM.png,2,1,3,2,4,2,4,3,3,3,4,Working Dogs,4
Briard,https://dogtime.com/dog-breeds/briard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-136209560-e1694502979550.jpg?w=1024,3,3,3,3,4,1,3,4,4,4,4,Herding Dogs,3
Brittany,https://dogtime.com/dog-breeds/brittany,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-478873873-1-e1693194046688.jpg?w=1024,3,1,3,1,5,3,4,3,4,3,5,Sporting Dogs,3
Broholmer,https://dogtime.com/dog-breeds/broholmer,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1321452598-e1694301065136.jpg?w=1024,3,2,4,3,4,3,4,5,3,3,3,Companion Dogs,3
Brussels Griffon,https://dogtime.com/dog-breeds/brussels-griffon,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-179861205-e1691003748400.jpg?w=1024,3,5,2,1,4,3,3,1,3,4,4,Companion Dogs,4
Bugg,https://dogtime.com/dog-breeds/bugg,https://dogtime.com/wp-content/uploads/sites/12/2019/12/bugg-mixed-dog-breed-pictures-cover.jpg,3,5,4,2,3,2,4,2,3,4,3,Mixed Breed Dogs,4
Bull-Pei,https://dogtime.com/dog-breeds/bull-pei,https://dogtime.com/wp-content/uploads/sites/12/2020/03/bull-pei-mixed-dog-breed-pictures-cover.jpg,2,4,2,3,2,4,3,3,2,2,2,Mixed Breed Dogs,3
Bull Terrier,https://dogtime.com/dog-breeds/bull-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-171949422-e1688480338712.jpg,3,4,4,2,5,3,4,2,4,1,5,Terrier Dogs,4
Bullador,https://dogtime.com/dog-breeds/bullador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/bullador-mixed-dog-breed-pictures-cover.jpg,2,2,2,2,4,4,3,4,4,4,4,Mixed Breed Dogs,3
Bullboxer Pit,https://dogtime.com/dog-breeds/bullboxer-pit,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullboxer-pit-mixed-dog-breed-pictures-cover.jpg,2,1,2,2,3,4,4,3,4,4,5,Mixed Breed Dogs,4
Bulldog,https://dogtime.com/dog-breeds/bulldog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168620477-e1691273341205.jpg?w=1024,3,5,4,3,4,3,4,2,2,4,3,Companion Dogs,3
Bullmastiff,https://dogtime.com/dog-breeds/bullmastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1352427667-e1690999364784.jpg?w=1024,3,3,2,2,4,1,2,5,3,4,4,Working Dogs,2
Bullmatian,https://dogtime.com/dog-breeds/bullmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullmation-mixed-dog-breed-pictures-cover.jpg,2,2,1,3,4,2,4,3,3,2,4,Mixed Breed Dogs,3
Cairn Terrier,https://dogtime.com/dog-breeds/cairn-terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-510060506-e1689725025862.jpg?w=1024,4,5,4,1,5,3,4,1,4,4,5,Terrier Dogs,4
Canaan Dog,https://dogtime.com/dog-breeds/canaan-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/download-e1694642126180.jpg,4,4,4,3,3,4,5,3,3,3,4,Herding Dogs,4
Cane Corso,https://dogtime.com/dog-breeds/cane-corso,https://dogtime.com/wp-content/uploads/sites/12/2014/08/GettyImages-1141876630-e1691880224156.jpg,2,1,1,1,3,3,3,4,4,3,4,Working Dogs,3
Cardigan Welsh Corgi,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446223089-1-e1695252647170.jpg?w=1024,4,4,4,3,4,4,4,2,3,2,3,Herding Dogs,4
Catahoula Bulldog,https://dogtime.com/dog-breeds/catahoula-bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-485256453-e1710520093615.jpg?w=1024,2,1,1,3,3,1,4,4,3,3,5,Mixed Breed Dogs,4
Catahoula Leopard Dog,https://dogtime.com/dog-breeds/catahoula-leopard-dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-621482340-e1694712115798.jpg?w=1024,2,1,1,2,3,3,3,4,3,3,4,Herding Dogs,4
Caucasian Shepherd Dog,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-153484492-e1694628785728.jpg?w=1024,3,2,1,3,3,4,3,5,3,3,3,Working Dogs,3
Cav-a-Jack,https://dogtime.com/dog-breeds/cav-a-jack,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover.jpg,3,4,4,1,4,2,3,2,4,3,4,Mixed Breed Dogs,4
Cavachon,https://dogtime.com/dog-breeds/cavachon,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavachon-mixed-dog-breed-pictures-cover.jpg,4,5,5,1,5,2,4,2,3,3,4,Mixed Breed Dogs,4
Cavador,https://dogtime.com/dog-breeds/cavador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavador-mixed-dog-breed-pictures-cover.jpg,3,3,5,2,4,3,4,3,3,3,4,Mixed Breed Dogs,4
Cavalier King Charles Spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-114508551.jpg?w=1024,4,5,5,1,5,3,4,2,3,3,4,Companion Dogs,4
Cavapoo,https://dogtime.com/dog-breeds/cavapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-173255251-e1692542655509.jpg?w=1024,3,3,3,2,5,2,3,2,3,2,3,Mixed Breed Dogs,4
Cesky Terrier,https://dogtime.com/dog-breeds/cesky-terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1483197146-e1698431289792.jpg?w=1024,4,5,4,3,3,1,5,2,3,3,3,Terrier Dogs,4
Chabrador,https://dogtime.com/dog-breeds/chabrador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chabrador-mixed-dog-breed-pictures-cover.jpg,3,4,2,3,3,4,4,3,3,3,4,Mixed Breed Dogs,3
Cheagle,https://dogtime.com/dog-breeds/cheagle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/cheagle-mixed-dog-breed-pictures-cover.jpg,3,4,4,1,3,3,3,2,3,4,4,Mixed Breed Dogs,4
Chesapeake Bay Retriever,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1351309778-e1691157319495.jpg?w=1024,3,1,1,2,3,5,4,3,3,3,5,Sporting Dogs,3
Chi Chi,https://dogtime.com/dog-breeds/chi-chi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chi-chi-mixed-dog-breed-pictures-cover.jpg,3,4,2,2,3,2,4,2,3,4,4,Mixed Breed Dogs,5
Chi-Poo,https://dogtime.com/dog-breeds/chi-poo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1176486702-e1710811043816.jpg?w=1024,4,5,5,4,4,2,2,2,4,3,3,Mixed Breed Dogs,4
Chigi,https://dogtime.com/dog-breeds/chigi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chigi-mixed-dog-breed-pictures-cover.jpg,3,3,4,2,4,4,3,1,3,2,4,Mixed Breed Dogs,4
Chihuahua,https://dogtime.com/dog-breeds/chihuahua,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1329412827-e1701097258260.jpg?w=1024,3,5,4,1,4,2,2,1,3,3,3,Companion Dogs,4
Chilier,https://dogtime.com/dog-breeds/chilier,https://dogtime.com/wp-content/uploads/sites/12/2022/11/Chilier.jpg,3,4,2,2,4,2,4,2,3,3,4,Mixed Breed Dogs,4
Chinese Crested,https://dogtime.com/dog-breeds/chinese-crested,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1421387129-e1692205550412.jpg?w=1024,3,5,3,1,4,2,5,2,3,3,2,Companion Dogs,4
