breed,Images,url,Adaptability,ToleranceAlone,Friendliness,Health,Intelligence,ExerciseNeeds,TemperatureTolerance,ApartmentSuitability,Size,breed_group,AgeAverage
Anatolian Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1477482048-e1694029026354.jpg?w=1024,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,3,3,2,3,4,3,4,1,5,Working Dogs,12
Appenzeller Sennenhunde,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1478460895-1-e1695405829147.jpg?w=1024,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,3,1,4,4,4,4,4.5,1,3,Herding Dogs,10.5
Auggie,https://dogtime.com/wp-content/uploads/sites/12/2019/09/auggie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/auggie,3,3,5,3,5,5,3.5,1,3,Mixed Breed Dogs,13.5
Aussiedoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-941172138-e1691704977623.jpg?w=1024,https://dogtime.com/dog-breeds/aussiedoodle,3,2,4,4,5,5,3,1,3,Mixed Breed Dogs,11.5
Aussiepom,https://dogtime.com/wp-content/uploads/sites/12/2019/07/aussiepom-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/aussiepom,3,2,4,4,4,4,3,1,3,Mixed Breed Dogs,13.5
Australian Cattle Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1309830116-e1692992685110.jpg?w=1024,https://dogtime.com/dog-breeds/australian-cattle-dog,3,3,4,5,5,5,4,1,3,Herding Dogs,13.5
Australian Kelpie,https://dogtime.com/wp-content/uploads/sites/12/2018/04/GettyImages-1356399383-e1688346168527.jpg?w=1024,https://dogtime.com/dog-breeds/australian-kelpie,3,2,3,3,5,4,4,1,3,Herding Dogs,12.5
Australian Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/10/australian-retriever-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-retriever,3,2,4,4,4,4,4,1,4,Mixed Breed Dogs,13.5
Australian Shepherd,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1310156914-e1691160249641.jpg?w=1024,https://dogtime.com/dog-breeds/australian-shepherd,3,2,4,2,5,5,4,1,3,Herding Dogs,13.5
Australian Shepherd Husky,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-husky-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-husky,3,1,3,3,5,5,4.5,1,4,Mixed Breed Dogs,13.5
Australian Shepherd Lab Mix,https://dogtime.com/wp-content/uploads/sites/12/2019/12/australian-shepherd-lab-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,4,4,4,4,5,5,4.5,1,4,Mixed Breed Dogs,13.5
Australian Shepherd Pit Bull Mix,https://dogtime.com/wp-content/uploads/sites/12/2020/01/australian-shepherd-pit-bull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,3,2,4,4,4,4,3,1,4,Mixed Breed Dogs,13
Australian Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226717580-e1696002487688.jpg?w=1024,https://dogtime.com/dog-breeds/australian-terrier,3,2,3,5,4,5,3.5,2,1,Terrier Dogs,22.5
Azawakh,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-984961036-e1691178428955.jpg?w=1024,https://dogtime.com/dog-breeds/azawakh,3,3,3,3,3,3,3,3,3,Hound Dogs,13.5
Barbet,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1182528738-e1695731334393.jpg?w=1024,https://dogtime.com/dog-breeds/barbet,3,1,4,4,4,4,4,1,3,Sporting Dogs,14
Basenji,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-996168400-e1691670212589.jpg?w=1024,https://dogtime.com/dog-breeds/basenji,4,4,5,2,4,3,2.5,3,2,Hound Dogs,11
Bassador,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bassador-mixed-breed-dog-pictures-cover.jpg,https://dogtime.com/dog-breeds/bassador,3,3,3,3,3,3,4,1,4,Mixed Breed Dogs,11
Basset Fauve de Bretagne,https://dogtime.com/wp-content/uploads/sites/12/2019/09/GettyImages-136994252-e1709255514492.jpg,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,3,3,4,5,5,3,2,3,2,Hound Dogs,13.5
Basset Hound,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-623381516-e1691154788279.jpg,https://dogtime.com/dog-breeds/basset-hound,3,3,5,1,4,2,2,2,2,Hound Dogs,11
Basset Retriever,https://dogtime.com/wp-content/uploads/sites/12/2019/11/basset-retriever-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/basset-retriever,3,2,4,4,5,4,4,1,3,Mixed Breed Dogs,11
Bavarian Mountain Scent Hound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-615331764-e1691095708411.jpg?w=1024,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,2,2,4,4,4,4,2.5,1,3,Hound Dogs,12
Beabull,https://dogtime.com/wp-content/uploads/sites/12/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/beabull,3,4,4,3,3,4,2,2,3,Mixed Breed Dogs,11.5
Beagle,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-157603001-e1701106766955.jpg?w=1024,https://dogtime.com/dog-breeds/beagle,3,1,5,1,4,5,3,2,2,Hound Dogs,12.5
Beaglier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-09-at-10.56.38-AM.png,https://dogtime.com/dog-breeds/beaglier,3,1,5,2,4,4,2.5,2,2,Mixed Breed Dogs,12.5
Bearded Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-106395374-e1694029838848.jpg?w=1024,https://dogtime.com/dog-breeds/bearded-collie,3,2,5,3,4,4,3.5,1,3,Herding Dogs,13
Bedlington Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-952818676-1-e1695321471712.jpg?w=1024,https://dogtime.com/dog-breeds/bedlington-terrier,4,3,5,4,5,4,3.5,2,3,Terrier Dogs,15
Belgian Malinois,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-482598287-e1689368698804.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-malinois,3,3,4,4,5,5,4,1,4,Herding Dogs,13
Belgian Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1198791373-e1695840179194.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-sheepdog,4,3,5,3,5,5,3.5,1,4,Herding Dogs,11
Belgian Tervuren,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-872002846-e1694032121253.jpg?w=1024,https://dogtime.com/dog-breeds/belgian-tervuren,3,1,3,3,5,4,3.5,1,4,Herding Dogs,11
Berger Picard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-180391527-e1695061860356.jpg?w=1024,https://dogtime.com/dog-breeds/berger-picard,4,3,4,5,4,5,3.5,1,4,Herding Dogs,13.5
Bernedoodle,https://dogtime.com/wp-content/uploads/sites/12/2017/10/GettyImages-962709956-e1693706990967.jpg?w=1024,https://dogtime.com/dog-breeds/bernedoodle,3,2,4,4,5,4,4,1,3,Mixed Breed Dogs,15
Bernese Mountain Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-537870596-e1701102761329.jpg?w=1024,https://dogtime.com/dog-breeds/bernese-mountain-dog,2,1,5,1,4,4,3,1,5,Working Dogs,8
Bichon Frise,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-514367196-e1692032817448.jpg,https://dogtime.com/dog-breeds/bichon-frise,4,1,5,4,4,4,3.5,3,2,Companion Dogs,13.5
Biewer Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1569169973-e1694190546405.jpg?w=1024,https://dogtime.com/dog-breeds/biewer-terrier,3,3,4,4,4,4,2.5,2,1,Terrier Dogs,13.5
Black and Tan Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-531223775-e1692805403967.jpg?w=1024,https://dogtime.com/dog-breeds/black-and-tan-coonhound,3,2,5,5,5,5,4,1,3,Hound Dogs,11
Black Mouth Cur,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1440971786-1-e1695316015872.jpg,https://dogtime.com/dog-breeds/black-mouth-cur,3,2,4,4,4,4,3,1,4,Working Dogs,15
Black Russian Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1187418372-1-1-e1697988547920.jpg?w=1024,https://dogtime.com/dog-breeds/black-russian-terrier,3,1,4,3,4,5,3.5,1,5,Working Dogs,10.5
Bloodhound,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-823894968-e1690932136652.jpg?w=1024,https://dogtime.com/dog-breeds/bloodhound,3,2,5,3,4,4,3,1,4,Hound Dogs,13
Blue Lacy,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-173549958-e1694386494868.jpg?w=1024,https://dogtime.com/dog-breeds/blue-lacy,3,2,3,4,5,5,4.5,1,3,Working Dogs,14
Bluetick Coonhound,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-483373049-e1694177883533.jpg?w=1024,https://dogtime.com/dog-breeds/bluetick-coonhound,3,2,4,4,4,5,3,1,3,Hound Dogs,11
Bocker,Nan,https://dogtime.com/dog-breeds/bocker,4,1,4,3,4,4,3.5,2,2,Mixed Breed Dogs,13.5
Boerboel,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-843641198-e1694186885578.jpg?w=1024,https://dogtime.com/dog-breeds/boerboel,2,2,3,4,4,4,3.5,1,5,Working Dogs,11
Boglen Terrier,https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-03-at-3.41.37-PM.png,https://dogtime.com/dog-breeds/boglen-terrier,3,2,5,3,2,5,2.5,2,2,Mixed Breed Dogs,12.5
Bolognese,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-142865646-1.jpg,https://dogtime.com/dog-breeds/bolognese,3,2,5,5,4,3,2.5,2,1,Companion Dogs,13
Borador,https://dogtime.com/wp-content/uploads/sites/12/2019/09/borador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/borador,3,2,4,3,5,4,3,1,4,Hybrid Dogs,12.5
Border Collie,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-164855910-1-e1694532950609.jpg?w=1024,https://dogtime.com/dog-breeds/border-collie,3,1,4,2,5,5,4,1,3,Herding Dogs,13.5
Border Sheepdog,https://dogtime.com/wp-content/uploads/sites/12/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/border-sheepdog,3,2,4,4,5,4,3,1,3,Mixed Breed Dogs,13.5
Border Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1176073607-e1691420229477.jpg,https://dogtime.com/dog-breeds/border-terrier,3,1,4,4,5,5,3.5,3,2,Terrier Dogs,13.5
Bordoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bordoodle,4,3,4,4,5,3,4,3,3,Mixed Breed Dogs,13.5
Borzoi,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-494422742-e1690935653749.jpg?w=1024,https://dogtime.com/dog-breeds/borzoi,4,1,4,4,4,2,3.5,3,5,Hound Dogs,11
BoShih,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boshih,3,1,3,3,3,3,2,3,2,Mixed Breed Dogs,13.5
Bossie,https://dogtime.com/wp-content/uploads/sites/12/2019/11/bossie-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bossie,3,5,4,3,4,5,3,1,3,Mixed Breed Dogs,13.5
Boston Boxer,https://dogtime.com/wp-content/uploads/sites/12/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boston-boxer,3,2,4,4,4,4,3,2,3,Mixed Breed Dogs,13.5
Boston Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142527104-e1693833380980.jpg?w=1024,https://dogtime.com/dog-breeds/boston-terrier,4,3,5,4,4,5,2.5,2,2,Companion Dogs,14
Bouvier des Flandres,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1246925205-e1694459937398.jpg?w=1024,https://dogtime.com/dog-breeds/bouvier-des-flandres,3,2,4,3,4,4,3,1,4,Herding Dogs,11
Boxador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxador,2,1,4,2,5,5,2,1,4,Mixed Breed Dogs,13.5
Boxer,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-463043655-1-e1692889076481.jpg?w=1024,https://dogtime.com/dog-breeds/boxer,3,1,4,2,4,5,1.5,2,3,Working Dogs,11
Boxerdoodle,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxerdoodle,3,2,4,3,4,4,3,1,3,Mixed Breed Dogs,11
Boxmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxmatian,2,2,3,5,4,5,3,1,5,Mixed Breed Dogs,11.5
Boxweiler,https://dogtime.com/wp-content/uploads/sites/12/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/boxweiler,3,2,4,3,4,4,2.5,1,4,Mixed Breed Dogs,10.5
Boykin Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-514726067-e1689183365138.jpg?w=1024,https://dogtime.com/dog-breeds/boykin-spaniel,3,3,4,2,4,5,3.5,1,3,Sporting Dogs,11
Bracco Italiano,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1226161054-e1694267703286.jpg?w=1024,https://dogtime.com/dog-breeds/bracco-italiano,3,3,4,2,4,4,3,1,4,Sporting Dogs,12
Braque du Bourbonnais,https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-11.00.02-AM.png,https://dogtime.com/dog-breeds/braque-du-bourbonnais,2,2,4,4,4,4,2.5,1,3,Working Dogs,13.5
Briard,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-136209560-e1694502979550.jpg?w=1024,https://dogtime.com/dog-breeds/briard,3,3,4,3,4,4,3.5,1,4,Herding Dogs,11
Brittany,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-478873873-1-e1693194046688.jpg?w=1024,https://dogtime.com/dog-breeds/brittany,3,1,5,4,5,5,3.5,1,3,Sporting Dogs,11.5
Broholmer,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1321452598-e1694301065136.jpg?w=1024,https://dogtime.com/dog-breeds/broholmer,3,3,4,4,4,3,3,1,5,Companion Dogs,10
Brussels Griffon,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-179861205-e1691003748400.jpg?w=1024,https://dogtime.com/dog-breeds/brussels-griffon,3,1,4,3,4,4,1.5,2,1,Companion Dogs,13.5
Bugg,https://dogtime.com/wp-content/uploads/sites/12/2019/12/bugg-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bugg,3,2,3,4,4,3,2.5,2,2,Mixed Breed Dogs,12.5
Bull-Pei,https://dogtime.com/wp-content/uploads/sites/12/2020/03/bull-pei-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bull-pei,2,3,2,3,2,2,1,3,3,Mixed Breed Dogs,10
Bull Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-171949422-e1688480338712.jpg,https://dogtime.com/dog-breeds/bull-terrier,3,2,5,4,4,5,2.5,3,2,Terrier Dogs,12.5
Bullador,https://dogtime.com/wp-content/uploads/sites/12/2020/02/bullador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullador,2,2,4,3,4,4,2,1,4,Mixed Breed Dogs,11
Bullboxer Pit,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullboxer-pit-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullboxer-pit,2,2,3,4,4,5,2,1,3,Mixed Breed Dogs,12
Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-168620477-e1691273341205.jpg?w=1024,https://dogtime.com/dog-breeds/bulldog,3,3,4,4,2,3,1,2,2,Companion Dogs,10
Bullmastiff,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1352427667-e1690999364784.jpg?w=1024,https://dogtime.com/dog-breeds/bullmastiff,3,2,4,2,3,4,3,1,5,Working Dogs,9
Bullmatian,https://dogtime.com/wp-content/uploads/sites/12/2019/07/bullmation-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/bullmatian,2,3,4,4,4,4,2,1,3,Mixed Breed Dogs,10
Cairn Terrier,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-510060506-e1689725025862.jpg?w=1024,https://dogtime.com/dog-breeds/cairn-terrier,4,1,5,4,5,5,4,2,1,Terrier Dogs,13.5
Canaan Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/download-e1694642126180.jpg,https://dogtime.com/dog-breeds/canaan-dog,4,3,3,5,4,4,4,2,3,Herding Dogs,13.5
Cane Corso,https://dogtime.com/wp-content/uploads/sites/12/2014/08/GettyImages-1141876630-e1691880224156.jpg,https://dogtime.com/dog-breeds/cane-corso,2,1,3,3,5,4,3.5,1,4,Working Dogs,11
Cardigan Welsh Corgi,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1446223089-1-e1695252647170.jpg?w=1024,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,4,3,4,4,5,3,3.5,3,2,Herding Dogs,13.5
Catahoula Bulldog,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-485256453-e1710520093615.jpg?w=1024,https://dogtime.com/dog-breeds/catahoula-bulldog,2,3,3,4,3,5,3,1,4,Mixed Breed Dogs,12
Catahoula Leopard Dog,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-621482340-e1694712115798.jpg?w=1024,https://dogtime.com/dog-breeds/catahoula-leopard-dog,2,2,3,3,3,4,3,1,4,Herding Dogs,12
Caucasian Shepherd Dog,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-153484492-e1694628785728.jpg?w=1024,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,3,3,3,3,4,3,3.5,1,5,Working Dogs,11
Cav-a-Jack,https://dogtime.com/wp-content/uploads/sites/12/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cav-a-jack,3,1,4,3,4,4,3,2,2,Mixed Breed Dogs,14.5
Cavachon,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavachon-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cavachon,4,1,5,4,4,4,3,2,2,Mixed Breed Dogs,12.5
Cavador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/cavador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cavador,3,2,4,4,4,4,3,1,3,Mixed Breed Dogs,12
Cavalier King Charles Spaniel,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-114508551.jpg?w=1024,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,4,1,5,4,4,4,2.5,2,2,Companion Dogs,12
Cavapoo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-173255251-e1692542655509.jpg?w=1024,https://dogtime.com/dog-breeds/cavapoo,3,2,5,3,4,3,3.5,1,2,Mixed Breed Dogs,13.5
Cesky Terrier,https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1483197146-e1698431289792.jpg?w=1024,https://dogtime.com/dog-breeds/cesky-terrier,4,3,3,5,3,3,3,2,2,Terrier Dogs,12.5
Chabrador,https://dogtime.com/wp-content/uploads/sites/12/2019/08/chabrador-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chabrador,3,3,3,4,4,4,2.5,2,3,Mixed Breed Dogs,11
Cheagle,https://dogtime.com/wp-content/uploads/sites/12/2019/07/cheagle-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/cheagle,3,1,3,3,4,4,1.5,2,2,Mixed Breed Dogs,12
Chesapeake Bay Retriever,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1351309778-e1691157319495.jpg?w=1024,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,3,2,3,4,4,5,4,1,3,Sporting Dogs,11
Chi Chi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chi-chi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chi-chi,3,2,3,4,4,4,2.5,2,2,Mixed Breed Dogs,15.5
Chi-Poo,https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1176486702-e1710811043816.jpg?w=1024,https://dogtime.com/dog-breeds/chi-poo,4,4,4,2,5,3,2.5,2,2,Mixed Breed Dogs,13.5
Chigi,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chigi-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chigi,3,2,4,3,4,4,2.5,1,1,Mixed Breed Dogs,13
Chihuahua,https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1329412827-e1701097258260.jpg?w=1024,https://dogtime.com/dog-breeds/chihuahua,3,1,4,2,4,3,1.5,2,1,Companion Dogs,14
Chilier,https://dogtime.com/wp-content/uploads/sites/12/2022/11/Chilier.jpg,https://dogtime.com/dog-breeds/chilier,3,2,4,4,4,4,2,2,2,Mixed Breed Dogs,14
Chinese Crested,https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1421387129-e1692205550412.jpg?w=1024,https://dogtime.com/dog-breeds/chinese-crested,3,1,4,5,3,2,2,2,2,Companion Dogs,12
Chinese Shar-Pei,https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-597227541-e1695135121879.jpg?w=1024,https://dogtime.com/dog-breeds/chinese-shar-pei,3,4,2,1,2,2,1.5,2,3,Working Dogs,10
Chinook,https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1484936277-e1690933859165.jpg?w=1024,https://dogtime.com/dog-breeds/chinook,3,1,5,4,5,3,4.5,3,4,Working Dogs,13.5
Chion,https://dogtime.com/wp-content/uploads/sites/12/2020/01/chion-mixed-dog-breed-pictures-cover.jpg,https://dogtime.com/dog-breeds/chion,3,2,3,4,3,3,2.5,2,2,Mixed Breed Dogs,12.5
